userName,score,at,label,content
Das Bastard,1,10/4/2024 2:16,negatif,"Aplikasi aneh, ada notif masuk tapi gak bisa masuk aplikasi dengan alasan kami tidak dapat melayani."
Slamat suharyono Yono,4,10/4/2024 2:11,netral,mohon selalanapde informasi terbaru mengenai lowongan kerja
Chiya Archelia Floure,3,10/4/2024 1:45,negatif,"Banyak yg suka ghosting, HRD nya juga banyak yg g buka chat lamaran sampai lowongan kerja ditutup"
Ssr Antapani,5,10/4/2024 0:52,netral,semoga ada rezeki ku kak
Eka Mutia,1,10/3/2024 22:36,negatif,Ini kenapa eror lg sih masa panggilanya penolakan itu pun jm 2 mlam pula sedangkan perusahaan gk mungkin merekrur jm 2 mlam tolong di perbaiki lg ya
dinii,5,10/3/2024 14:22,positif,Bagus
faisal amri,4,10/3/2024 11:47,netral,Apa kurang minat menerima pekerja ya🤔
Kang Indra (Iyek),5,10/3/2024 10:29,positif,mantap
Shin Chan,4,10/3/2024 6:50,netral,ku kasih *4 dulu krna baru coba. tapi semoga ada hal baik kedepannya.
Basuki Wibowo,5,10/3/2024 6:34,positif,"Aplikasi yg Sangat Bagus, semoga dapat membantu semua orang yg sangat membutuhkan pekerjaan"
Gobriz chanel,5,10/3/2024 5:35,positif,top
Azwar Anas,5,10/3/2024 5:12,positif,menyala
Paulus Johanes,5,10/3/2024 2:32,netral,semoga bisa keterima kerja dari aplikasi ini
Cecep purba,5,10/3/2024 2:14,positif,bagus
Muhamadabdul Rohim,5,10/3/2024 2:07,positif,Bagus
Budi Marwanto (banTo),5,10/3/2024 1:59,positif,ok bgt
Hotbiner Saragi,5,10/2/2024 22:15,positif,mantap
MRA Sijuris,5,10/2/2024 12:39,positif,Mantap aplikasinya
jul jul,5,10/2/2024 9:56,positif,good
Vesty Salafiyah,5,10/2/2024 9:21,positif,so far so good
Rizqi Ibra,1,10/2/2024 9:05,negatif,Minta update terus
Effendi Canon,5,10/2/2024 7:37,positif,bagus
Sabel Mayka,1,10/2/2024 6:02,netral,Glitch ✔
LEOPARD,5,10/2/2024 5:35,positif,Good
Andika J. Santika,5,10/2/2024 3:51,positif,Bagus
Republik Indie,4,10/2/2024 2:01,netral,sementara dulu ratingnya segini
Yuda Azriel Friansyah,5,10/2/2024 2:00,positif,Bagus untuk memudahkan orang orang mencari pekerjaan
makis biologi,5,10/2/2024 1:17,positif,langsug tembus terus tabarakalloh glint
Nurkholifah Salsabilla rahmadaniah,4,10/2/2024 0:39,positif,"bagus sangat terbantu, terimakasih"
Agus Alim,5,10/1/2024 17:21,positif,sangat membantu
wahyu ningsih,5,10/1/2024 12:54,positif,aplikasi yg bagus untuk jobseeker
Eril Obeit Choiri,5,10/1/2024 12:47,positif,sip lengkap
"Fahrezi,ichsan Syah",5,10/1/2024 12:46,positif,sangat baik
heru saputra,5,10/1/2024 12:44,positif,oke
Wina Putri Legiani,5,10/1/2024 12:20,positif,"Mudah banget menggunakan nya, bisa langsung chat ke HRD nya"
Agielfauzi Galih,5,10/1/2024 6:29,positif,Ok
ilyas panji,1,10/1/2024 4:37,negatif,Ribet masukin lamaran dari web tapi HARUS buka pesan dari HR lewat APLIKASI ga membantu sama sekali maksa banget harus buka aplikasi
Wuri Damajanti,5,10/1/2024 4:28,positif,good apk
Arnold Parulian Sipangkar,1,10/1/2024 3:31,negatif,"Banyak ketidak sesuaian antara jobdesk yang disertakan diaplikasi dan yang disampaikan HR saat interview. Mohon lebih dijaga integritas nya, seakan akan becandaan saja lowongan yang dipost. Terimakasih"
Rizky Budi Nugroho,4,9/30/2024 22:47,netral,"Kak boleh saran dong, di keterangan lowongannya dikasih jam operasional kerjanya seperti di platform sebelah dan untuk di PC sediakan kotak masuk seperti di Handphone ya biar bisa fleksibel bukanya Terima Kasih"
Budi Riyanto,5,9/30/2024 18:16,positif,"Terima kasih banyak untuk Aplikasi Glints, sangat membantu untuk para pencari kerja..."
Saepudin,5,9/30/2024 17:23,netral,baru mencoba
Aumanserigalaaa Militia,2,9/30/2024 15:12,negatif,"Lamaran dengan bayaran kecil semua, udah gitu susah dapetnya"
Agan Java,4,9/30/2024 12:14,positif,sangag membantu seseorg yg lagi cari loker
Rizky Yulianto,5,9/30/2024 10:52,positif,Thx glintts Alhamdulilah sudah dapet pekerjaan dari apk glints
Anwar Flores,3,9/30/2024 10:20,positif,bgus
Agus Hadi purnomo,4,9/30/2024 9:18,negatif,imfomasi krng akurat
Mahendra Saputra,5,9/30/2024 9:06,netral,do'a in saya dapat kerjaa🙏
Sumantri Gun,4,9/30/2024 6:19,positif,bagus
Hendra Agus,5,9/29/2024 11:54,positif,baik
Syifa Amelia Suhandi,5,9/29/2024 8:42,netral,aplikasi ini sangat penting bagi orang yg lgi membutuhkan pekerjaan
Juan Ismail,5,9/29/2024 5:58,positif,"Keren walaupun banyak penolakan di bidang skill,, tapi kurang dari seminggu gw dapet tawaran dmna mana barista,,sabar dikit wirr rezeki gak kemana"
Fahmi project,3,9/29/2024 2:54,positif,bagus
Basyar Amin,5,9/29/2024 1:53,positif,mantap
Aulia Megaputri,5,9/28/2024 23:17,positif,Mantap
Spoo Kyy,5,9/28/2024 23:17,positif,sangat membantu
Sinta Nl,5,9/28/2024 14:01,positif,Kerennnn bangett alhamdulillahhhhhh aq dapet kerjaaan dari siniii semoga semakin maju ya aplikasinya
Fimaati Laia,3,9/28/2024 12:11,positif,bagus
fika fauziyah,5,9/28/2024 7:09,positif,up to date dan mudah cara melamarnya
Agus Setiawan,5,9/28/2024 6:30,positif,mantap
Ramdani,5,9/28/2024 5:53,positif,Ok
Ary Markonah,1,9/28/2024 5:40,negatif,"Aplikasi gak jelas. Hanya iming iming kerjaan tok,tapu gak ada kenyataanya. Buktinya sampe sekarang sy gak dpt kerjaan daftar lewat glint. Kamaran hanya diterima hrd doank gak ada follow up nya sama sekali"
Apandi Yose,5,9/28/2024 5:22,netral,lebih mudah dan saya berharap segera mendapatkan pekerjaan
Andi Mulyono,5,9/28/2024 3:55,positif,"Bagus, sangat membantu dalam mencari pekerjaan"
Putri Febriyani,5,9/28/2024 2:52,positif,bagus
Jajat Doang,5,9/27/2024 21:55,positif,good
Tarbih,1,9/27/2024 10:52,negatif,Tolong developer di setiap info perusahaan tolong wajib mengisi berapah kisaran gaji yang di terima pekerjaannya.. Biar kami tau itu harus wajib di isi oleh pihak HRD
Just Ifa,5,9/27/2024 9:14,netral,semoga dgn apk ini saya dpt pekerjaan yang menjanjikan
Riyan Sesato,5,9/27/2024 5:15,netral,makasih
mahfudz izzuddin,3,9/27/2024 4:12,positif,sangat membantu
Moeljadi Setijawan,5,9/27/2024 3:54,positif,sangat membantu pencari kerja
JAVARIGIN Indonesia,5,9/27/2024 2:47,positif,"joss, good job"
Herry Herry,5,9/27/2024 1:48,positif,Sangat cocok
buddy mulya,5,9/27/2024 1:20,positif,mantap join seminggu langsung dapet kerja . alhamdulilaah
Adelia Susanto,5,9/27/2024 0:52,positif,"Alhamdulillah saya cepat dapat pekerjaan,dan selalu di respon oleh HRD"
Puja Restu,4,9/26/2024 12:32,positif,cukup baik
Tiko Kristianto,1,9/26/2024 10:38,negatif,"Hati² banyak mafia menawarkan pekerjaan disini, ujung²nya dimintain duit. Cari kerja mnding langsung ke dinas tenaga kerja sj. Kbanyakan kalo lwt aplikasi atau internet bohong smua. Kalo sipembuat aplikasi sngt bagus, sngt mmbantu utk referensi"
Red Queen,5,9/26/2024 8:57,positif,"bagusss, app minim scammer, pemberitahuan lamaran diacc/tidak lebih jelas, sudah beberapa kali dapet panggilan interview dari sini juga. thank u glints"
Yohana Siburian1294,4,9/26/2024 7:04,positif,capable to seek for a job.
gidion giovanri,5,9/26/2024 7:01,positif,baik
Dany Heryanto,4,9/26/2024 6:55,positif,baik
Victor,5,9/26/2024 6:54,positif,bagus
Rafi,5,9/26/2024 6:38,positif,mantap
meiwan taufiq,5,9/26/2024 2:52,positif,baik
Edi yamato,5,9/26/2024 2:17,positif,"sunggu membantu, terima kasih"
Taufiq Hadianto,5,9/26/2024 0:22,positif,sangat membantu
Andi Sugito,5,9/25/2024 15:44,positif,Bagus
Albert Perdana,5,9/25/2024 14:49,positif,sangat baik
Andi Lesmana,5,9/25/2024 12:43,positif,bagus
Kasta Kasta,5,9/25/2024 11:42,positif,sangat membantu
Feri Satria,5,9/25/2024 11:30,positif,Fast respon
Ibnu Hobir,5,9/25/2024 9:49,positif,jos
Imanuel Christian,5,9/25/2024 8:55,positif,Simple and Easy use
Wahyu Arief,5,9/25/2024 7:23,positif,mudah
Muhammad Restu Ardian,5,9/25/2024 6:25,positif,bagus
Nur Amri Soleh,5,9/25/2024 5:33,netral,"Halo, mau tanya dong, klo ada info sedang komunikasi itu kita harus chat HRD nya apa kita tunggu chat dari pihak perusahaan?"
Yuni Yuliyanti,5,9/25/2024 5:15,positif,makasih
RAP D,4,9/25/2024 2:59,negatif,"ya tuhan, sudah 550 lowongan pekerjaan saya apply, masih belum ada juga yang menerima"
rizwar rijali,5,9/24/2024 19:13,positif,beneran penghasil cuam
Bang Misju1928,5,9/24/2024 17:54,positif,bagus aplikasi baru nyoba
Moch Kurdi,5,9/24/2024 16:51,positif,Bagus untuk mencari lowongan kerja
Roby agues,1,9/24/2024 12:42,negatif,"Gak jelas minta isi instiusi gak jelas ,"
Handoko Tujuh Bintang,5,9/24/2024 12:30,positif,good
Andi Andu,1,9/24/2024 9:51,netral,Pernah bekerja pengalaman cleaning service bersih2.dan resepsionis di hotel. Habis kontrak kerja.
Kaka Rury,1,9/24/2024 9:25,negatif,Gak bisa di download pake wifi
rosyta Ardaning,5,9/24/2024 7:43,netral,Semoga ALLOH mudahkan ikhtiar melalui aplikasi Glints
Rifai Badruladkha,5,9/24/2024 7:19,positif,aplikasi yg menghubungkan pencari kerja dg HRD langsung.
Agus Ismail,4,9/24/2024 6:57,netral,bagus tapi belum menemukan pekerjaan
Ahmad Qo'id asyari,5,9/24/2024 6:23,netral,ol
Ramli Baok,5,9/24/2024 5:05,positif,sangat membantu
Junior Juniviandi,5,9/24/2024 4:30,positif,sangat membantu dalam mencari informasi pekerjaan
Rifqi Subagja,5,9/23/2024 17:36,positif,"aplikasi nya sangat mudah di gunakan, semoga ke depan nya semakin baik 👍"
Aduun Aduu,5,9/23/2024 11:58,positif,"apk ini sangat membantu ,bagi saya"
Aweng Dua,5,9/23/2024 11:53,positif,sangat membantu
juniati Juni,5,9/23/2024 11:19,positif,saya sangat puas
Dedy Wijaya,5,9/23/2024 9:33,netral,Saya suka aplikasi ini tolong untuk bagian sales konsultan di loker glint nya di perbanyak karena bidang saya di situ trims
Edi Junaedi,1,9/23/2024 6:18,negatif,Cari info loker operator alat berat aja ga ada
Erwin Abu Bakar Sidik,1,9/23/2024 4:57,negatif,Setelah update gabisa login google
Rohani Yuliana,2,9/23/2024 2:53,negatif,"Kenapa ga bisa masukin lewat google ya? Eror kah? Tolong perbaiki lagi Saya jadi ga bisa cari kerjaan kalo ga bisa masuk akun saya, lewat email juga ga bisa, tolong dong pihak glints kerja sama nya"
Muhammad Nur Ariful Yahya,1,9/23/2024 1:43,negatif,tidak bisa login/daftar
Husain Rahmat,1,9/23/2024 0:30,negatif,Gak bisa login
Bagus Muhammad Wijaksono,1,9/22/2024 18:06,negatif,Bug auth menggunakan google stuck di setiap device samsung
Robin Nur Hidayatullah,1,9/22/2024 17:01,negatif,"aplikasi stuck di login, gabisa masuk padahal udah pilih gmail tetep stuck. udah re-install tetep aja stuck, udah hapus data tetap gabisa. perbaiki!!!"
Yohana Indah,5,9/22/2024 13:25,positif,terimakasih banyak ya membantu
Sofyan Alvian,1,9/22/2024 11:55,negatif,Setelah update tdk bisa login via google
Badriyah Hanif,5,9/22/2024 11:15,positif,gooood
Nyanyan Miki,2,9/22/2024 10:01,negatif,Aplikasinya bug kah? Gak bisa login dari tadi
masyitah Mawaddah,5,9/22/2024 3:52,positif,aplikasi yang sangat bagus dan pas bgt buat yang mau nge lamarkerja online Kya gini uhy bintang 5 deh buat apk ini
Nurjannah,1,9/22/2024 1:21,positif,good
M. iqbal izzul haq,5,9/21/2024 18:52,positif,Sangat Baik aplikasinya terimakasih doakan semoga cepat ada panggilan
Eva Putri,5,9/21/2024 18:00,negatif,"Tolong di cek ada apa dengan glints, saya tidak bisa membuka isi semua di dalam glin, sangat penting karena sedang dalam panggilan interview"
Firda Nurmanda,1,9/21/2024 14:53,negatif,"Hallo, saya ingin login menggunakan google email. Tapi gagal terus, saya harap ada perbaikan dalam ini. Padahal Email saya sudah terdaftar di Glints melalui website glints"
Petrus Danang Widjanarko,1,9/21/2024 13:17,negatif,"Baru download dicoba masuk pake akun google malah ga kebu ka, ya di uninstal ngrepotin dari dulu ga ada kemauan berubah ya terserah lah apa maumu"
kohar kkb,5,9/21/2024 12:14,positif,sangat terbantu dengan glints
Suparman edo,5,9/21/2024 11:46,positif,informasi yang menarik dan membantu
Dedi Idoy,4,9/21/2024 9:21,netral,Maaf saya kasih 4 dulu klu benar saya kasih 5
inez putri,5,9/21/2024 6:53,positif,bagus
RASPATI,2,9/21/2024 4:17,negatif,Gak ada yang bales sama sekali sama HRD nya juga wkwk
Bambangsuteja 628,5,9/21/2024 4:08,netral,Saya siap kerja dengan bapak /ibu kerja apa aja
Dadang Darmawan,5,9/20/2024 22:35,positif,"saya sangat senang sekali dengan adanya ad plikasi Glints membantu kami tuk mencari pekerjaan,mksh"
fiul fiul,5,9/20/2024 13:38,negatif,belum dapat hasil.dari APK ini.
Dwita Rahmawati,5,9/20/2024 12:13,netral,"Aplikasinya baguss , tapi kayaknya dikasih notif pas hrd ngechat jadi lebih bagus deh min . Soalnya setiap hrd ngechat gak ada notif masuk jadi takut kelewat lamarannya"
Ayunda Karunia agustin,5,9/20/2024 11:21,positif,cocok untuk yg ke susahan cari kerja dan juga bisa kerja sambil tiduran dan di mana saja pokon nya apk ini cocok banget buat yg lg cari kerjaan👍
Yusuf Imam,2,9/20/2024 11:01,negatif,Setiap aply lamaran sesalu bilang skil tidak sesuai Cv slalu d update Sedangkn taruh lamaran d apk lain sllu d panggl interviu hnya d apk ini cv sllu d tolak dan bilang tidak sesuai Jdi hps apk saja
Devi Damayanti,3,9/20/2024 10:58,positif,lumayan
Nasril Koto,2,9/20/2024 9:54,positif,Bgs bsa loker sesuai skill
Rifki Maulana Putra,4,9/20/2024 9:03,positif,Bagus dan sangat membantu
angelia Vivi,5,9/20/2024 6:41,positif,"Sangat membantu ,apk nya sngat bagus.trima kasih yg sudah buat apk ini."
Firanda_ Rossela,3,9/20/2024 5:24,negatif,Dari pengalaman menggunakan glints respon dari perusahaan sangat lama. Atau memang sistemnya lama seperti itu?. Bahkan banyak yg tdk merespon.
Adi Purwanto,4,9/20/2024 3:10,positif,baikk
Paksi Aditiya,5,9/20/2024 1:10,positif,great apps
Dhega Dhega,3,9/20/2024 0:40,negatif,Untuk data pengguna harus di tingkat lagi keamanannya karna ada yang mau mencoba masuk ke data seseorang
Febri Maulana Amin,5,9/19/2024 17:28,positif,keren
KANG GANDA GANDA,5,9/19/2024 16:57,positif,IS THE BEST
Yunia 999,5,9/19/2024 15:54,negatif,saya kurang mengerti
Zaskia Sakina Roz,5,9/19/2024 14:17,positif,"aplikasi sangat mudah dipahami, bahkan untuk melamar pekerjaan mudah dilakukan, terimakasih saya suka dengan aplikasinya"
Tri lek,5,9/19/2024 14:17,positif,Langsung bintang lima!!! Siapa tau dapat pekerjaan di sini
Gilang R,5,9/19/2024 8:37,positif,oke
Dede Rusmana,4,9/19/2024 7:12,positif,Oke
Asyifa Arnanda Mustika,1,9/19/2024 6:15,negatif,"Ini cara login nya gimana ga bisa"" masuk perasaan"
Mr. L,5,9/19/2024 4:15,positif,Terimakasih glint
Imam Buchori,5,9/19/2024 3:17,positif,"sangat membantu para pencari kerja, smoga jadi amal sholeh buat yang berkontribusi di aplikasi ini. sukses selalu"
Rangga Prawira,5,9/19/2024 0:21,positif,bagus
Rahman Sidik,5,9/18/2024 23:26,positif,sangat memuaskan
Illustrations By Ra,5,9/18/2024 18:15,positif,"Respon dr HRD lebih cepat di aplikasi Glints ini, dr pd apk lain"
Wanda Mutaqin,1,9/18/2024 16:56,negatif,Tidak bisa hapus akun
rafibayu samudra,1,9/18/2024 5:57,negatif,kebanyakan penipu lowongan
DAFID SAPUTRA,5,9/18/2024 5:11,positif,sangat bagus
AA RP,5,9/18/2024 5:04,positif,sejauh ini informasi lokernya bervariasi dan sangat bermanfaat
Endang Kurnia,3,9/18/2024 4:40,positif,sangat membantu
Dedi Sujana,5,9/18/2024 0:51,positif,sangat membantu
Zaka Ria,4,9/17/2024 23:33,positif,lumayan bagus up to date
Rikardo Pratama,5,9/17/2024 19:36,positif,Alhamdulillah
Resky Arief Fachreza,5,9/17/2024 17:30,positif,"Sangat mudah, bisa berkomunikasi dengan HRDnya."
Francesca zycko,5,9/17/2024 15:30,positif,good
Erwin Syahbana,5,9/17/2024 11:27,positif,mantaff bro
Muhamad Dion,5,9/17/2024 9:03,positif,semoga saja bermanfaat aplikasi ini betul ² bermanfaat
Bobic Anic,1,9/17/2024 8:34,negatif,Gaje
Silvia Oktavianni,2,9/17/2024 7:43,netral,"Sebenarnya aplikasi glint Bagus untuk apply2 loker, bisa chat HRD dan banyak yg update.. tetapi kenapa klo HRD di glints itu pada sombong 😭 kebanyakan online tp ga pada balasss!?;?!!?!? Udah sesuai kualifikasi tp masih ditolak???? HRD nya bener2 nyari yg sempurna bgt apa yaaa?!?!?!? Mending Gausah diadain fitur chat dgn HRD klo hasilnya sama aja😥"
Rasiwan Iwan,4,9/17/2024 7:20,positif,sangat membantu informasi
Alveo Tetra,1,9/17/2024 2:50,negatif,Aplikasi sampah
Rusti Dayem,4,9/17/2024 2:14,netral,sayang saya ga punya ijazah bagus aplikasinya
manusia jerami,1,9/16/2024 23:33,negatif,"Apk tolol ga guna ,.... pencarian aja ga sesuai range yg dipilih !!! Bapukkkkk apk nya !"
Bintak,5,9/16/2024 17:40,positif,good
Erick Prasetyo Adi Asmoro,5,9/16/2024 17:15,positif,sangat menguntungkan
Mitra alam Persada,4,9/16/2024 15:07,netral,mantap bintang 4 dulu ya
Syahrul Lail,4,9/16/2024 14:48,positif,oke
andes Pebriansay,5,9/16/2024 14:47,netral,saya buntu perkejaan
Maria Nesta,5,9/16/2024 14:24,positif,bagus untuk mencari pekerjaan
Ji ̧Tae,3,9/16/2024 12:43,netral,"masih di coba. tapi nanti kalau udah berhasil keterima & dapat hasilnya, bakal saya ubah bintangnya ☺ semoga aplikasi ini bermanfaat."
Asy'ar Maulana,5,9/16/2024 11:53,positif,sangat membantu
Duex Dwi,5,9/16/2024 6:02,positif,sangat membantu
Julius Versi 11,1,9/16/2024 4:26,netral,"1 bintang dulu, karna belum tau Hasilnya"
LAILI FITRIYADI,5,9/16/2024 1:45,positif,opsi untuk mencari pekerjaan
Haidar Syafii,5,9/16/2024 1:43,positif,mantap
Kaman Cpym,5,9/15/2024 20:46,positif,sangat membantu untuk melamar kerja
Misna Lach,4,9/15/2024 19:52,positif,bagus sekali
Edwar Annas Darma Putra,5,9/15/2024 16:14,positif,oke
Aris Sukma wardana,5,9/15/2024 16:09,positif,Sangat membantu sekali untuk yang sedang membutuhkan pekerjaan. adapun ini aplikasi jelas glints tetap memberikan informasi yang akurat kompetable dan juga komprehensif. tetap dengan mekanisme yang dilakukan. kapasitas membantu semua pihak..tks..namun masih ada kurang nya dalam Diskusi internal HRD. Di tentukan di terima atau tidak nya lamaran pekerjaan ini..semoga menjadikan prioritas untuk kalangan pelamar kerja pada umumnya.
Rizky Putra,5,9/15/2024 13:35,positif,ok
Endra Saputra,5,9/15/2024 12:10,positif,keren
Dicky Drop,5,9/15/2024 7:58,positif,ok bgt
Febri Stiawan,5,9/15/2024 6:42,positif,👌oke
Achadi Achmad,5,9/15/2024 3:56,positif,Saya dapat bekerja di perusahaan yg sekarang dari Glints
Rohaeni Hasan,5,9/15/2024 2:27,negatif,"hii ka, aku mau minta tolong untuk lebih aware lagi sama perusahan mana yang real keberadaannya dan mana yang fake. difilter dengan baik, buat standarisasi yang bagus, biar ngga semua orang bebas buka lowongan yang padahal isinya scam. kontak kita sebagai jobseeker malah jadi sasaran penipuan. TOLONG JADI PLATFORM YANG BISA MEMBERI RUANG AMAN 🤎"
Dhino Qila,5,9/14/2024 22:54,positif,sangat membantu
Dewi Andreani,5,9/14/2024 14:47,positif,ok
Richierich Flowerhorn,5,9/14/2024 10:28,positif,Lowongan kerja nya banyak
satan Byme,3,9/14/2024 10:24,negatif,Error di halaman chat Sudah seharian ini
Gibrani Bahari Silalahi,5,9/14/2024 9:16,positif,"Aplikasi ini sangat cocok untuk para pencari kerja seperti saya,mudah sekali mendapatkan loker loker terbaru di sini"
Hendra Permadi,5,9/14/2024 6:47,positif,Sangat membantu sekali untuk yang mencari kerjaan harus instal aplikasi ini
Amanda Putri,1,9/14/2024 5:40,negatif,Not
Fajar Subekti,4,9/14/2024 4:36,positif,bagus
Arina Azzahra,5,9/14/2024 4:06,positif,Sangat membantu
ALDI ANSYAH 02,5,9/14/2024 2:14,positif,good
natasya ritzhani,5,9/14/2024 1:32,positif,goood
Jaidiansyah alfatih46,4,9/13/2024 18:25,positif,Baik
Sandi Pratama,5,9/13/2024 18:22,netral,mudah2 bisa membantu
Adam Setiwan,4,9/13/2024 13:43,positif,"Aplikasinya ok,,, semoga amanah aamiin allah humma aamiin"
Risal Lada,5,9/13/2024 13:03,positif,sangat membantu
Depry Ridwansyah,5,9/13/2024 7:23,positif,oke
169_Dimas Prasetiyo,5,9/13/2024 5:35,positif,sangat bagus dan membantu
Sukma Algifari,1,9/13/2024 4:46,netral,"Baru coba saya kasih dulu bintang satu, tapi kalo nanti bener bener terbukti bagus saya kasih bintang5"
Muhammad arfan Arfan,4,9/13/2024 4:44,positif,sangat bgus ni app
Agung Pras (Aginta_Grafx),3,9/13/2024 4:14,negatif,"The apps isn't compatible with my emulator LDPlayer 5, and I have sent resume for vacancy, the chat color text vs BG color combinations are hard to read"
Djamaluddin Syaban,4,9/13/2024 3:59,netral,semoga bisa membantu
Asep Yusmansyah,5,9/13/2024 3:51,positif,aplikasinya sangat bagus dan baik.terima kasih glints
Kenzie Samuel,5,9/13/2024 3:50,positif,Bagus.. memudahkan untuk mencari pekerjaan
Azriel Pahlevi,5,9/13/2024 1:30,positif,wahh sangat fantastis
Real Morshallinho,5,9/13/2024 1:12,positif,Salah satu bentuk apresiasi saya dalam memberikan tulisan ulasan ini dengan sangat senang hati dan tulus. Karena bagi saya salah satu platform ini sangat berguna sekali bagi para pelamar kerja diluar sana karena sangat mudah penggunaan nya. Saya berterima kasih kepada providers ini dalam pengembangan aplikasi tersebut. Terima Kasih.
X,5,9/12/2024 19:20,positif,terbaik
igustiagunggandi gandi,5,9/12/2024 14:40,positif,aplk sangat bagus kasik bitang 5
Jaimito Baptista,5,9/12/2024 14:13,positif,saya sangat puas dengan pelerjaan
Simon Enga Blegur,3,9/12/2024 13:45,positif,bagus
andama rizky maulana,5,9/12/2024 13:11,positif,"membantu sekalii, sedang berusaha untuk berkarir semoga di mudahkan!!.. terimakasih GLINTS✨"
Zapusur Zali,5,9/12/2024 12:52,positif,Membantu mencari loker
Geo_arud0 _4365,1,9/12/2024 12:23,negatif,"Waduhhh,,,,inikan lowongan yg paling banyak di jawa sama Bali,,,,mending join grup Facebook aja dari pada di sini"
Ayus Official,5,9/12/2024 8:29,positif,bagus
M1c4n0 `,3,9/12/2024 8:18,negatif,"Tolong Kembalikan Jam yang tertera di lowongan pekerjaan, seperti ""Lowongan ini di posting 1 hari yang lalu"" tolong kembalikan itu, karena saya sangat susah membedakan mana lowongan yang masih baru dan yang sudah lama."
Dery Ahmad,4,9/12/2024 8:13,positif,Nice
Jumayas,5,9/12/2024 5:59,positif,sangat bagus..
Raka Diningrat,4,9/12/2024 5:08,positif,"sangat membantu,dan bermanfaat"
Richard,5,9/12/2024 4:55,netral,bismillah dpt kerjaan
Rohibi Al_bantany,5,9/12/2024 4:34,netral,Semoga adanya apk ini kita bisa dapat kerja sesuai dengan kriteria kita
Ngurah Hary [C],5,9/12/2024 4:03,positif,oke
leo baskoro,5,9/11/2024 19:09,positif,Sangat baik semoga lekas bisa diterima lewat aplikasi ini terimakasih Glints sukses selalu...
Muji yanto,5,9/11/2024 15:51,netral,"sejauh ini belum dapet kerjaan si, tapi aplikasi ini sangat membantu bagi mereka yang punya gelar dan pendidikan tinggi"
yunardi agri,5,9/11/2024 15:06,positif,baik
eko prihtianto,5,9/11/2024 6:51,netral,semoga dpt kerjaan
Mochamad Ramdhani,5,9/11/2024 6:37,positif,good
Mirzatillah Nazaruddin,5,9/11/2024 5:54,netral,Bantu info untuk lamaran kerja
Aldi Sarido,3,9/11/2024 2:49,positif,keren
Rizki Saeful Abdul Azzis,5,9/11/2024 2:24,positif,"aplikasi nya sangat membantu, orang untuk mencari pekerjaan, mantul lah pokonya"
Soni kuncoro,1,9/10/2024 13:58,negatif,Apk sampah gak da proses sama sekali
Rizka Putri,4,9/10/2024 13:51,positif,bagus
Kevin Otong,5,9/10/2024 12:46,positif,baik
Gilang Nurul faiz,5,9/10/2024 11:07,netral,"baik ,tapi belum di coba"
Jefri Setiawan,1,9/10/2024 10:54,negatif,Masih aja ada modus penipuan naikin Rating toko olshop di aplikasi ini
BertinR,1,9/10/2024 9:53,negatif,Aku udah pake glints tapi ngak sesuai ekspeksi. Dan aku kena tipu org oknum yang mengatakan dari pihak glints. Awalnyaa melakukan interview via chat telegram. Tp ujung2nya ngk msuk kualifikasi dan menawarkan kerjaan menyelesaikan misi. Dan ujungnya mesti transfer
