,content,label_num,clean_teks
25,Ini kenapa eror lg sih masa panggilanya penolakan itu pun jm 2 mlam pula sedangkan perusahaan gk mungkin merekrur jm 2 mlam tolong di perbaiki lg ya,0,eror sih panggilanya tolak jm malam usaha tidak merekrur jm malam tolong baik ya
26,Bagus,2,bagus
27,Apa kurang minat menerima pekerja ya🤔,1,kurang minat terima kerja ya
28,mantap,2,mantap
29,ku kasih *4 dulu krna baru coba. tapi semoga ada hal baik kedepannya.,1,ku kasih coba moga baik depan
30,"Aplikasi yg Sangat Bagus, semoga dapat membantu semua orang yg sangat membutuhkan pekerjaan",2,aplikasi bagus moga bantu orang butuh kerja
31,top,2,top
32,menyala,2,nyala
33,semoga bisa keterima kerja dari aplikasi ini,1,moga terima kerja aplikasi
34,bagus,2,bagus
35,Bagus,2,bagus
36,ok bgt,2,ok banget
37,mantap,2,mantap
38,Mantap aplikasinya,2,mantap aplikasi
39,good,2,good
40,so far so good,2,far good
41,Minta update terus,0,update
42,bagus,2,bagus
43,Glitch ✔,1,glitch
44,Good,2,good
45,Bagus,2,bagus
46,sementara dulu ratingnya segini,1,ratingnya gin
47,Bagus untuk memudahkan orang orang mencari pekerjaan,2,bagus mudah orang orang cari kerja
48,langsug tembus terus tabarakalloh glint,2,langsug tembus tabarakalloh glint
49,"bagus sangat terbantu, terimakasih",2,bagus bantu terimakasih
50,sangat membantu,2,bantu
51,aplikasi yg bagus untuk jobseeker,2,aplikasi bagus cari kerja
52,sip lengkap,2,sip lengkap
53,sangat baik,2,baik
54,oke,2,oke
55,"Mudah banget menggunakan nya, bisa langsung chat ke HRD nya",2,mudah banget nya langsung chat hrd nya
56,Ok,2,ok
57,Ribet masukin lamaran dari web tapi HARUS buka pesan dari HR lewat APLIKASI ga membantu sama sekali maksa banget harus buka aplikasi,0,ribet masukin lamar situs buka pesan aplikasi tidak bantu maksa banget buka aplikasi
58,good apk,2,good apk
59,"Banyak ketidak sesuaian antara jobdesk yang disertakan diaplikasi dan yang disampaikan HR saat interview. Mohon lebih dijaga integritas nya, seakan akan becandaan saja lowongan yang dipost. Terimakasih",0,tidak sesuai jobdesk serta aplikasi interview mohon jaga integritas nya akan becandaan lowong dipost terimakasih
60,"Kak boleh saran dong, di keterangan lowongannya dikasih jam operasional kerjanya seperti di platform sebelah dan untuk di PC sediakan kotak masuk seperti di Handphone ya biar bisa fleksibel bukanya Terima Kasih",1,kak saran terang lowong kasih jam operasional kerja platform belah pc sedia kotak masuk handphone ya biar fleksibel buka terima kasih
61,"Terima kasih banyak untuk Aplikasi Glints, sangat membantu untuk para pencari kerja...",2,terima kasih aplikasi glints bantu cari kerja
62,baru mencoba,1,coba
63,"Lamaran dengan bayaran kecil semua, udah gitu susah dapetnya",0,lamar bayar susah dapetnya
64,sangag membantu seseorg yg lagi cari loker,2,sangag bantu seseorg cari loker
65,Thx glintts Alhamdulilah sudah dapet pekerjaan dari apk glints,2,terimakasih glintts alhamdulillah dapet kerja apk glints
66,bgus,2,bgus
67,imfomasi krng akurat,0,imfomasi krng akurat
68,do'a in saya dapat kerjaa🙏,1,doa in kerjaa
69,bagus,2,bagus
70,baik,2,baik
71,aplikasi ini sangat penting bagi orang yg lgi membutuhkan pekerjaan,1,aplikasi orang butuh kerja
72,"Keren walaupun banyak penolakan di bidang skill,, tapi kurang dari seminggu gw dapet tawaran dmna mana barista,,sabar dikit wirr rezeki gak kemana",2,keren tolak bidang skill kurang minggu dapet tawar mana baristasabar wirr rezeki tidak mana
73,bagus,2,bagus
74,mantap,2,mantap
75,Mantap,2,mantap
76,sangat membantu,2,bantu
77,Kerennnn bangett alhamdulillahhhhhh aq dapet kerjaaan dari siniii semoga semakin maju ya aplikasinya,2,kerennnn bangett alhamdulillahhhhhh dapet kerjaaan siniii moga maju ya aplikasi
78,bagus,2,bagus
79,up to date dan mudah cara melamarnya,2,up tanggal mudah lamar
80,mantap,2,mantap
81,Ok,2,ok
82,"Aplikasi gak jelas. Hanya iming iming kerjaan tok,tapu gak ada kenyataanya. Buktinya sampe sekarang sy gak dpt kerjaan daftar lewat glint. Kamaran hanya diterima hrd doank gak ada follow up nya sama sekali",0,aplikasi tidak iming iming kerja toktapu tidak kenyataanya bukti tidak kerja daftar glint kamar terima hrd tidak follow up nya
83,lebih mudah dan saya berharap segera mendapatkan pekerjaan,1,mudah harap kerja
84,"Bagus, sangat membantu dalam mencari pekerjaan",2,bagus bantu cari kerja
85,bagus,2,bagus
86,good,2,good
87,Tolong developer di setiap info perusahaan tolong wajib mengisi berapah kisaran gaji yang di terima pekerjaannya.. Biar kami tau itu harus wajib di isi oleh pihak HRD,0,tolong developer informasi usaha tolong wajib isi rapah kisar gaji terima kerja biar tau wajib isi hrd
88,semoga dgn apk ini saya dpt pekerjaan yang menjanjikan,1,moga apk kerja janji
89,makasih,1,terimakasih
90,sangat membantu,2,bantu
91,sangat membantu pencari kerja,2,bantu cari kerja
92,"joss, good job",2,joss good job
93,Sangat cocok,2,cocok
94,mantap join seminggu langsung dapet kerja . alhamdulilaah,2,mantap join minggu langsung dapet kerja alhamdulilaah
95,"Alhamdulillah saya cepat dapat pekerjaan,dan selalu di respon oleh HRD",2,alhamdulillah cepat pekerjaandan respon hrd
96,cukup baik,2,cukup baik
97,"Hati² banyak mafia menawarkan pekerjaan disini, ujung²nya dimintain duit. Cari kerja mnding langsung ke dinas tenaga kerja sj. Kbanyakan kalo lwt aplikasi atau internet bohong smua. Kalo sipembuat aplikasi sngt bagus, sngt mmbantu utk referensi",0,hati mafia tawar kerja ujung nya dimintain duit cari kerja mending langsung dinas tenaga kerja kbanyakan aplikasi internet bohong sipembuat aplikasi bagus mmbantu referensi
98,"bagusss, app minim scammer, pemberitahuan lamaran diacc/tidak lebih jelas, sudah beberapa kali dapet panggilan interview dari sini juga. thank u glints",2,bagusss app minim scammer pemberitahuan lamar diacctidak kali dapet panggil interview thank glints
99,capable to seek for a job.,2,capable seek a job
100,baik,2,baik
101,baik,2,baik
102,bagus,2,bagus
103,mantap,2,mantap
104,baik,2,baik
105,"sunggu membantu, terima kasih",2,sunggu bantu terima kasih
106,sangat membantu,2,bantu
107,Bagus,2,bagus
108,sangat baik,2,baik
109,bagus,2,bagus
110,sangat membantu,2,bantu
111,Fast respon,2,fast respon
112,jos,2,jos
113,Simple and Easy use,2,simpel and easy use
114,mudah,2,mudah
115,bagus,2,bagus
116,"Halo, mau tanya dong, klo ada info sedang komunikasi itu kita harus chat HRD nya apa kita tunggu chat dari pihak perusahaan?",1,halo informasi komunikasi chat hrd nya tunggu chat usaha
117,makasih,2,terimakasih
118,"ya tuhan, sudah 550 lowongan pekerjaan saya apply, masih belum ada juga yang menerima",0,ya tuhan lowong kerja apply terima
119,beneran penghasil cuam,2,beneran hasil cuam
120,bagus aplikasi baru nyoba,2,bagus aplikasi nyoba
121,Bagus untuk mencari lowongan kerja,2,bagus cari lowong kerja
122,"Gak jelas minta isi instiusi gak jelas ,",0,tidak isi instiusi tidak
123,good,2,good
124,Pernah bekerja pengalaman cleaning service bersih2.dan resepsionis di hotel. Habis kontrak kerja.,1,alam cleaning servis bersihdan resepsionis hotel habis kontrak kerja
125,Gak bisa di download pake wifi,0,tidak download pakai wifi
126,Semoga ALLOH mudahkan ikhtiar melalui aplikasi Glints,1,moga alloh mudah ikhtiar aplikasi glints
127,aplikasi yg menghubungkan pencari kerja dg HRD langsung.,2,aplikasi hubung cari kerja hrd langsung
128,bagus tapi belum menemukan pekerjaan,1,bagus temu kerja
129,ol,1,ol
130,sangat membantu,2,bantu
131,sangat membantu dalam mencari informasi pekerjaan,2,bantu cari informasi kerja
132,"aplikasi nya sangat mudah di gunakan, semoga ke depan nya semakin baik 👍",2,aplikasi nya mudah moga nya baik
133,"apk ini sangat membantu ,bagi saya",2,apk bantu
134,sangat membantu,2,bantu
135,saya sangat puas,2,puas
136,Saya suka aplikasi ini tolong untuk bagian sales konsultan di loker glint nya di perbanyak karena bidang saya di situ trims,1,suka aplikasi tolong sales konsultan loker glint nya banyak bidang situ trims
137,Cari info loker operator alat berat aja ga ada,0,cari informasi loker operator alat berat tidak
138,Setelah update gabisa login google,0,update tidak login google
139,"Kenapa ga bisa masukin lewat google ya? Eror kah? Tolong perbaiki lagi Saya jadi ga bisa cari kerjaan kalo ga bisa masuk akun saya, lewat email juga ga bisa, tolong dong pihak glints kerja sama nya",0,tidak masukin google ya eror kah tolong baik tidak cari kerja tidak masuk akun email tidak tolong glints kerja nya
140,tidak bisa login/daftar,0,tidak logindaftar
141,Gak bisa login,0,tidak login
142,Bug auth menggunakan google stuck di setiap device samsung,0,bug auth google stuck device samsung
143,"aplikasi stuck di login, gabisa masuk padahal udah pilih gmail tetep stuck. udah re-install tetep aja stuck, udah hapus data tetap gabisa. perbaiki!!!",0,aplikasi stuck login tidak masuk pilih gmail stuck reinstall stuck hapus data tidak baik
144,terimakasih banyak ya membantu,2,terimakasih ya bantu
145,Setelah update tdk bisa login via google,0,update tidak login via google
146,gooood,2,gooood
147,Aplikasinya bug kah? Gak bisa login dari tadi,0,aplikasi bug kah tidak login
148,aplikasi yang sangat bagus dan pas bgt buat yang mau nge lamarkerja online Kya gini uhy bintang 5 deh buat apk ini,2,aplikasi bagus pas banget nge lamarkerja online uhy bintang deh apk
149,good,2,good
150,Sangat Baik aplikasinya terimakasih doakan semoga cepat ada panggilan,2,baik aplikasi terimakasih doa moga cepat panggil
151,"Tolong di cek ada apa dengan glints, saya tidak bisa membuka isi semua di dalam glin, sangat penting karena sedang dalam panggilan interview",0,tolong cek glints tidak buka isi glin panggil interview
152,"Hallo, saya ingin login menggunakan google email. Tapi gagal terus, saya harap ada perbaikan dalam ini. Padahal Email saya sudah terdaftar di Glints melalui website glints",0,hallo login google email gagal harap baik email daftar glints situs glints
153,"Baru download dicoba masuk pake akun google malah ga kebu ka, ya di uninstal ngrepotin dari dulu ga ada kemauan berubah ya terserah lah apa maumu",0,download coba masuk pakai akun google tidak kebu ka ya uninstal ngrepotin tidak mau ubah ya serah mau
154,sangat terbantu dengan glints,2,bantu glints
155,informasi yang menarik dan membantu,2,informasi tarik bantu
156,Maaf saya kasih 4 dulu klu benar saya kasih 5,1,maaf kasih kasih
157,bagus,2,bagus
158,Gak ada yang bales sama sekali sama HRD nya juga wkwk,0,tidak balas hrd nya wkwk
159,Saya siap kerja dengan bapak /ibu kerja apa aja,1,kerja kerja
160,"saya sangat senang sekali dengan adanya ad plikasi Glints membantu kami tuk mencari pekerjaan,mksh",2,senang plikasi glints bantu tuk cari pekerjaanmksh
161,belum dapat hasil.dari APK ini.,0,hasildari apk
162,"Aplikasinya baguss , tapi kayaknya dikasih notif pas hrd ngechat jadi lebih bagus deh min . Soalnya setiap hrd ngechat gak ada notif masuk jadi takut kelewat lamarannya",1,aplikasi baguss kayak kasih pemberitahuan pas hrd ngechat bagus deh min hrd ngechat tidak pemberitahuan masuk takut lewat lamar
163,cocok untuk yg ke susahan cari kerja dan juga bisa kerja sambil tiduran dan di mana saja pokon nya apk ini cocok banget buat yg lg cari kerjaan👍,2,cocok susah cari kerja kerja tidur pokon nya apk cocok banget cari kerja
164,Setiap aply lamaran sesalu bilang skil tidak sesuai Cv slalu d update Sedangkn taruh lamaran d apk lain sllu d panggl interviu hnya d apk ini cv sllu d tolak dan bilang tidak sesuai Jdi hps apk saja,0,aply lamar sesalu bilang skil tidak sesuai cv d update sedangkn taruh lamar d apk sllu d panggl interviu d apk cv sllu d tolak bilang tidak sesuai hps apk
165,lumayan,2,lumayan
166,Bgs bsa loker sesuai skill,2,bgs loker sesuai skill
167,Bagus dan sangat membantu,2,bagus bantu
168,"Sangat membantu ,apk nya sngat bagus.trima kasih yg sudah buat apk ini.",2,bantu apk nya bagustrima kasih apk
169,Dari pengalaman menggunakan glints respon dari perusahaan sangat lama. Atau memang sistemnya lama seperti itu?. Bahkan banyak yg tdk merespon.,0,alam glints respon usaha sistem tidak merespon
170,baikk,2,baikk
171,great apps,2,great apps
172,Untuk data pengguna harus di tingkat lagi keamanannya karna ada yang mau mencoba masuk ke data seseorang,0,data guna tingkat aman coba masuk data
173,keren,2,keren
174,IS THE BEST,2,is the best
175,saya kurang mengerti,0,kurang erti
176,"aplikasi sangat mudah dipahami, bahkan untuk melamar pekerjaan mudah dilakukan, terimakasih saya suka dengan aplikasinya",2,aplikasi mudah paham lamar kerja mudah terimakasih suka aplikasi
177,Langsung bintang lima!!! Siapa tau dapat pekerjaan di sini,2,langsung bintang tau kerja
178,oke,2,oke
179,Oke,2,oke
180,"Ini cara login nya gimana ga bisa"" masuk perasaan",0,login nya tidak masuk asa
181,Terimakasih glint,2,terimakasih glint
182,"sangat membantu para pencari kerja, smoga jadi amal sholeh buat yang berkontribusi di aplikasi ini. sukses selalu",2,bantu cari kerja moga amal sholeh kontribusi aplikasi sukses
183,bagus,2,bagus
184,sangat memuaskan,2,muas
185,"Respon dr HRD lebih cepat di aplikasi Glints ini, dr pd apk lain",2,respon hrd cepat aplikasi glints pd apk
186,Tidak bisa hapus akun,0,tidak hapus akun
187,kebanyakan penipu lowongan,0,banyak tipu lowong
188,sangat bagus,2,bagus
189,sejauh ini informasi lokernya bervariasi dan sangat bermanfaat,2,informasi lokernya variasi manfaat
190,sangat membantu,2,bantu
191,sangat membantu,2,bantu
192,lumayan bagus up to date,2,lumayan bagus up tanggal
193,Alhamdulillah,2,alhamdulillah
194,"Sangat mudah, bisa berkomunikasi dengan HRDnya.",2,mudah komunikasi hrdnya
195,good,2,good
196,mantaff bro,2,mantaff bro
197,semoga saja bermanfaat aplikasi ini betul ² bermanfaat,2,moga manfaat aplikasi  manfaat
198,Gaje,0,gaje
199,"Sebenarnya aplikasi glint Bagus untuk apply2 loker, bisa chat HRD dan banyak yg update.. tetapi kenapa klo HRD di glints itu pada sombong 😭 kebanyakan online tp ga pada balasss!?;?!!?!? Udah sesuai kualifikasi tp masih ditolak???? HRD nya bener2 nyari yg sempurna bgt apa yaaa?!?!?!? Mending Gausah diadain fitur chat dgn HRD klo hasilnya sama aja😥",1,aplikasi glint bagus apply loker chat hrd update hrd glints sombong banyak online tidak balasss sesuai kualifikasi tolak hrd nya bener nyari sempurna banget yaaa mending tidak diadain fitur chat hrd hasil
200,sangat membantu informasi,2,bantu informasi
201,Aplikasi sampah,0,aplikasi sampah
202,sayang saya ga punya ijazah bagus aplikasinya,1,sayang tidak ijazah bagus aplikasi
203,"Apk tolol ga guna ,.... pencarian aja ga sesuai range yg dipilih !!! Bapukkkkk apk nya !",0,apk tolol tidak cari tidak sesuai range pilih bapukkkkk apk nya
204,good,2,good
205,sangat menguntungkan,2,untung
206,mantap bintang 4 dulu ya,1,mantap bintang ya
207,oke,2,oke
208,saya buntu perkejaan,1,buntu perkejaan
209,bagus untuk mencari pekerjaan,2,bagus cari kerja
210,"masih di coba. tapi nanti kalau udah berhasil keterima & dapat hasilnya, bakal saya ubah bintangnya ☺ semoga aplikasi ini bermanfaat.",1,coba hasil terima hasil ubah bintang moga aplikasi manfaat
211,sangat membantu,2,bantu
212,sangat membantu,2,bantu
213,"1 bintang dulu, karna belum tau Hasilnya",1,bintang tau hasil
214,opsi untuk mencari pekerjaan,2,opsi cari kerja
215,mantap,2,mantap
216,sangat membantu untuk melamar kerja,2,bantu lamar kerja
217,bagus sekali,2,bagus
218,oke,2,oke
219,Sangat membantu sekali untuk yang sedang membutuhkan pekerjaan. adapun ini aplikasi jelas glints tetap memberikan informasi yang akurat kompetable dan juga komprehensif. tetap dengan mekanisme yang dilakukan. kapasitas membantu semua pihak..tks..namun masih ada kurang nya dalam Diskusi internal HRD. Di tentukan di terima atau tidak nya lamaran pekerjaan ini..semoga menjadikan prioritas untuk kalangan pelamar kerja pada umumnya.,2,bantu butuh kerja aplikasi glints informasi akurat kompetable komprehensif mekanisme kapasitas bantu pihaktksnamun kurang nya diskusi internal hrd tentu terima tidak nya lamar kerja inisemoga jadi prioritas kalang lamar kerja
220,ok,2,ok
221,keren,2,keren
222,ok bgt,2,ok banget
223,👌oke,2,oke
224,Saya dapat bekerja di perusahaan yg sekarang dari Glints,2,usaha glints
225,"hii ka, aku mau minta tolong untuk lebih aware lagi sama perusahan mana yang real keberadaannya dan mana yang fake. difilter dengan baik, buat standarisasi yang bagus, biar ngga semua orang bebas buka lowongan yang padahal isinya scam. kontak kita sebagai jobseeker malah jadi sasaran penipuan. TOLONG JADI PLATFORM YANG BISA MEMBERI RUANG AMAN 🤎",0,hii ka tolong aware usah real ada fake filter baik standar bagus biar tidak orang bebas buka lowong isi scam kontak cari kerja sasar tipu tolong platform ruang aman
226,sangat membantu,2,bantu
227,ok,2,ok
228,Lowongan kerja nya banyak,2,lowong kerja nya
229,Error di halaman chat Sudah seharian ini,0,error halaman chat hari
230,"Aplikasi ini sangat cocok untuk para pencari kerja seperti saya,mudah sekali mendapatkan loker loker terbaru di sini",2,aplikasi cocok cari kerja sayamudah loker loker baru
231,Sangat membantu sekali untuk yang mencari kerjaan harus instal aplikasi ini,2,bantu cari kerja instal aplikasi
232,Not,0,not
233,bagus,2,bagus
234,Sangat membantu,2,bantu
235,good,2,good
236,goood,2,goood
237,Baik,2,baik
238,mudah2 bisa membantu,1,mudah bantu
239,"Aplikasinya ok,,, semoga amanah aamiin allah humma aamiin",2,aplikasi ok moga amanah aamiin allah humma aamiin
240,sangat membantu,2,bantu
241,oke,2,oke
242,sangat bagus dan membantu,2,bagus bantu
243,"Baru coba saya kasih dulu bintang satu, tapi kalo nanti bener bener terbukti bagus saya kasih bintang5",1,coba kasih bintang bener bener bukti bagus kasih bintang
244,sangat bgus ni app,2,bgus ni app
245,"The apps isn't compatible with my emulator LDPlayer 5, and I have sent resume for vacancy, the chat color text vs BG color combinations are hard to read",0,the apps isnt compatible with my emulator ldplayer and i have sent resume vacancy the chat warna text vs bg warna combinations are hard read
246,semoga bisa membantu,1,moga bantu
247,aplikasinya sangat bagus dan baik.terima kasih glints,2,aplikasi bagus baikterima kasih glints
248,Bagus.. memudahkan untuk mencari pekerjaan,2,bagus mudah cari kerja
249,wahh sangat fantastis,2,wahh fantastis
250,Salah satu bentuk apresiasi saya dalam memberikan tulisan ulasan ini dengan sangat senang hati dan tulus. Karena bagi saya salah satu platform ini sangat berguna sekali bagi para pelamar kerja diluar sana karena sangat mudah penggunaan nya. Saya berterima kasih kepada providers ini dalam pengembangan aplikasi tersebut. Terima Kasih.,2,salah bentuk apresiasi tulis ulas senang hati tulus salah platform guna lamar kerja luar mudah guna nya terima kasih providers kembang aplikasi terima kasih
251,terbaik,2,baik
252,aplk sangat bagus kasik bitang 5,2,aplk bagus kasik bitang
253,saya sangat puas dengan pelerjaan,2,puas pelerjaan
254,bagus,2,bagus
255,"membantu sekalii, sedang berusaha untuk berkarir semoga di mudahkan!!.. terimakasih GLINTS✨",2,bantu sekali usaha berkarir moga mudah terimakasih glints
256,Membantu mencari loker,2,bantu cari loker
257,"Waduhhh,,,,inikan lowongan yg paling banyak di jawa sama Bali,,,,mending join grup Facebook aja dari pada di sini",0,waduhhhinikan lowong jawa balimending join grup facebook
258,bagus,2,bagus
259,"Tolong Kembalikan Jam yang tertera di lowongan pekerjaan, seperti ""Lowongan ini di posting 1 hari yang lalu"" tolong kembalikan itu, karena saya sangat susah membedakan mana lowongan yang masih baru dan yang sudah lama.",0,tolong kembali jam tera lowong kerja lowong posting tolong kembali susah beda lowong
260,Nice,2,nice
261,sangat bagus..,2,bagus
262,"sangat membantu,dan bermanfaat",2,membantudan manfaat
263,bismillah dpt kerjaan,1,bismillah kerja
264,Semoga adanya apk ini kita bisa dapat kerja sesuai dengan kriteria kita,1,moga apk kerja sesuai kriteria
265,oke,2,oke
266,Sangat baik semoga lekas bisa diterima lewat aplikasi ini terimakasih Glints sukses selalu...,2,baik moga lekas terima aplikasi terimakasih glints sukses
267,"sejauh ini belum dapet kerjaan si, tapi aplikasi ini sangat membantu bagi mereka yang punya gelar dan pendidikan tinggi",1,dapet kerja si aplikasi bantu gelar didik
268,baik,2,baik
269,semoga dpt kerjaan,1,moga kerja
270,good,2,good
271,Bantu info untuk lamaran kerja,1,bantu informasi lamar kerja
272,keren,2,keren
273,"aplikasi nya sangat membantu, orang untuk mencari pekerjaan, mantul lah pokonya",2,aplikasi nya bantu orang cari kerja mantul poko
274,Apk sampah gak da proses sama sekali,0,apk sampah tidak da proses
275,bagus,2,bagus
276,baik,2,baik
277,"baik ,tapi belum di coba",1,baik coba
278,Masih aja ada modus penipuan naikin Rating toko olshop di aplikasi ini,0,modus tipu naikin rating toko olshop aplikasi
279,Aku udah pake glints tapi ngak sesuai ekspeksi. Dan aku kena tipu org oknum yang mengatakan dari pihak glints. Awalnyaa melakukan interview via chat telegram. Tp ujung2nya ngk msuk kualifikasi dan menawarkan kerjaan menyelesaikan misi. Dan ujungnya mesti transfer,0,pakai glints tidak sesuai ekspeksi kena tipu orang oknum glints awalnyaa interview via chat telegram ujung tidak masuk kualifikasi tawar kerja selesai misi ujung mesti transfer
280,mantapp,2,mantapp
281,kena zonk bgt udh seneng dpt kesempatan wawancara jd admin . knp malah jd ngerjain tugas2 untuk nambah saldo .. awalnya iya ngerjain tugas tanpa tf tp knp kesininya harus tf saldo .. niat cari kerja malah d suruh tf uang.. cape deh.. dimana jd admin nya ?!?!,0,kena zonk banget senang sempat wawancara admin tugas tambah saldo iya tugas tf kesini tf saldo niat cari kerja d suruh tf uang capek deh mana admin nya
282,sangat membantu,2,bantu
283,"diaplikasi ini mudah melihat lowongan kerja,alamat perusahaan yg dituju dll, hanya sedikit kekurangan nya ketika meng uplowad Cv mengalamu kendala",1,aplikasi mudah lowong kerjaalamat usaha tuju lain kurang nya meng uplowad cv ala kendala
284,good tambahkan freelance dong yang remot dari rumah,2,good tambah freelance remot rumah
285,Ok,2,ok
286,"Ini mah aplikasi gak jelas jangan mau download lamaran saya padahal sesiluai tapi ,diketerangan nya tidak sesuai terus , terus banyak penipuannya juga tolong lah hapus aplikasi gak jelas ini",0,mah aplikasi tidak download lamar sesiluai terang nya tidak sesuai tipu tolong hapus aplikasi tidak
287,No komen ya,1,nomor komen ya
288,👍🏼,1,
289,belum puas,0,puas
290,bagus,2,bagus
291,apk sangat membantu dan sangat rekomen untuk pencaker,2,apk bantu rekomen pencaker
292,👍👍👍,1,
293,bagus,2,bagus
294,mantul,2,mantul
295,mohon diperbarui kembali dan tolong disampaikan ke para recruiter jika melalukan recruitment mohon para kandidat diberi pemberitahuan apabila tidak lolos,0,mohon baru tolong recruiter lalu recruitment mohon kandidat pemberitahuan tidak lolos
296,"ini aplikasi terbaik, lowongannya asli dan real semua. bisa kontak langsung sama HRD nya, terima kasih Glints.",2,aplikasi baik lowong asli real kontak langsung hrd nya terima kasih glints
297,Sangat membantu tuk para pencari kerja👍👍👍,2,bantu tuk cari kerja
298,lumayan membantu,2,lumayan bantu
299,Kenapa dengan aplikasi ini saya sudah banyak banget melamar cuman gk ada panggilan sama sekali saya mohon di respon dengan cepat🙏,0,aplikasi banget lamar tidak panggil mohon respon cepat
300,sangat membantu,2,bantu
301,Taii😡😡,0,taii
302,banyak penipuan,0,tipu
303,"Semoga bisa dapat langsung kerja setelah gabung dengan Giants, amin...",1,moga langsung kerja gabung giants amin
304,Thanks glints,2,terimakasih glints
305,baru nyoba tadi pagi make glints keliatan nya baguss smoga cepet dapet kerjaany di aplikasi glins,2,nyoba pagi pakai glints nya baguss moga cepat dapet kerjaany aplikasi glins
306,sangat bermanfaat,2,manfaat
307,semoga ada yg jodoh aamiin,1,moga jodoh aamiin
308,lowongan bnyak tpi bnyk yg kadarluasa dan lowo zonk atau permainan app... saya pre uninstall bye2,0,lowong bnyak kadarluasa lowo zonk main app pre uninstall bye
309,Belum dpt krja,1,kerja
310,nice apl,2,nice apl
311,bagus,2,bagus
312,Cakeeeppp,2,cakeeeppp
313,baik,2,baik
314,Bagus bgt,2,bagus banget
315,top fc,2,top fc
316,keren,2,keren
317,"Admin, tolong di saring lagi perihal Job kerja dirumah, saya mendapat panggilan interview job freelance yg disana tertera loker virtual asisten, ternyata kerjanya seperti yg sering iklan di sosmed dengan sistem komisi, Alhamdulillah saya tidak lanjut, dikarena saya pernah menemukan job seperti itu, tolong di saring lagi, kasihan yg benar-benar mencari job part time tapi malah kena job komisi. Maaf bintang saya 3 saja.",0,admin tolong saring perihal job kerja rumah panggil interview job freelance sana tera loker virtual asisten kerja iklan sosmed sistem komisi alhamdulillah tidak karena temu job tolong saring kasihan benarbenar cari job part kena job komisi maaf bintang
318,"alhamdulilah yaa allah, semenjak dowlond aplikasi ini, saya jadi senang bercampur bahagia, karena dulu saya belum dapat pekerjaan, selepas masuk ke akun maa syaa allah banget✨️🙏🏻 terus berikhtiar sampai Allah mengabulkan doa² yang kita impikan✨️🕊 Aameen👑",2,alhamdulillah yaa allah semenjak dowlond aplikasi senang campur bahagia kerja lepas masuk akun maa syaa allah banget ikhtiar allah kabul doa impi aameen
319,bagus,2,bagus
320,apk rekomen cepet respon HRD nya,2,apk rekomen cepat respon hrd nya
321,ok banget diskripsi pekerjaan yang ditawarkan.,2,ok banget skripsi kerja tawar
322,bagus,2,bagus
323,bagus,2,bagus
324,dicoba aj dlu doain saya dpt kerjaan yg bener bg,1,coba doa kerja bener bg
325,kasih bintang 2 dulu karena baru menggunakan,1,kasih bintang
326,kurang kuas,0,kurang kuas
327,Bagus,2,bagus
328,nice,2,nice
